Entity,Code,Year,Estimated incidence of all forms of tuberculosis,time
North Macedonia,MKD,2023,10,2023
Norway,NOR,2023,2.9,2023
Oman,OMN,2023,11,2023
Pakistan,PAK,2023,277,2023
Palau,PLW,2023,97,2023
Palestine,PSE,2023,0.35,2023
Panama,PAN,2023,58,2023
Papua New Guinea,PNG,2023,432,2023
Paraguay,PRY,2023,62,2023
Peru,PER,2023,173,2023
Philippines,PHL,2023,643,2023
Poland,POL,2023,10,2023
Portugal,PRT,2023,16,2023
Puerto Rico,PRI,2023,0.71,2023
Qatar,QAT,2023,35,2023
Romania,ROU,2023,55,2023
Russia,RUS,2023,38,2023
Rwanda,RWA,2023,55,2023
Saint Kitts and Nevis,KNA,2023,2.5,2023
Saint Lucia,LCA,2023,1.3,2023
Saint Vincent and the Grenadines,VCT,2023,14,2023
Samoa,WSM,2023,5.2,2023
San Marino,SMR,2023,0,2023
Sao Tome and Principe,STP,2023,111,2023
Saudi Arabia,SAU,2023,8.4,2023
Senegal,SEN,2023,110,2023
Serbia,SRB,2023,14,2023
Seychelles,SYC,2023,21,2023
Sierra Leone,SLE,2023,283,2023
Singapore,SGP,2023,42,2023
Slovakia,SVK,2023,4.3,2023
Slovenia,SVN,2023,4.6,2023
Solomon Islands,SLB,2023,55,2023
Somalia,SOM,2023,243,2023
South Africa,ZAF,2023,427,2023
South Korea,KOR,2023,38,2023
South Sudan,SSD,2023,227,2023
Spain,ESP,2023,5.9,2023
Sri Lanka,LKA,2023,62,2023
Sudan,SDN,2023,50,2023
Suriname,SUR,2023,29,2023
Sweden,SWE,2023,3.7,2023
Switzerland,CHE,2023,5.4,2023
Syria,SYR,2023,17,2023
Tajikistan,TJK,2023,79,2023
Tanzania,TZA,2023,183,2023
Thailand,THA,2023,157,2023
Togo,TGO,2023,30,2023
Tonga,TON,2023,8.8,2023
Trinidad and Tobago,TTO,2023,21,2023
Tunisia,TUN,2023,38,2023
Turkey,TUR,2023,13,2023
Turkmenistan,TKM,2023,49,2023
Tuvalu,TUV,2023,296,2023
Uganda,UGA,2023,198,2023
Ukraine,UKR,2023,112,2023
United Arab Emirates,ARE,2023,0.8,2023
United Kingdom,GBR,2023,7.6,2023
United States,USA,2023,3.1,2023
Uruguay,URY,2023,42,2023
Uzbekistan,UZB,2023,57,2023
Vanuatu,VUT,2023,41,2023
Venezuela,VEN,2023,45,2023
Vietnam,VNM,2023,182,2023
Yemen,YEM,2023,48,2023
Zambia,ZMB,2023,283,2023
Zimbabwe,ZWE,2023,211,2023
